Date,Hour,Target
01/08/2020 ,19,42.47
01/08/2020 ,20,40.45
01/08/2020 ,21,38.1
01/08/2020 ,22,36.75
01/08/2020 ,23,34.14
01/08/2020 ,24,30.77
01/09/2020 ,1,31.05
01/09/2020 ,2,30.05
01/09/2020 ,3,29.49
01/09/2020 ,4,29.77
01/09/2020 ,5,31.86
01/09/2020 ,6,36.47
01/09/2020 ,7,42.12
01/09/2020 ,8,41.58
01/09/2020 ,9,37.67
01/09/2020 ,10,35.23
01/09/2020 ,11,29.55
01/09/2020 ,12,26.63
01/09/2020 ,13,25.05
01/09/2020 ,14,23.55
01/09/2020 ,15,27.03
01/09/2020 ,16,32.69
01/09/2020 ,17,38.5
01/09/2020 ,18,43.71
01/09/2020 ,19,42.48
01/09/2020 ,20,42.6
01/09/2020 ,21,42.19
01/09/2020 ,22,39.38
01/09/2020 ,23,36.01
01/09/2020 ,24,33.85
01/10/2020 ,1,32.4
01/10/2020 ,2,30.62
01/10/2020 ,3,30.69
01/10/2020 ,4,31.14
01/10/2020 ,5,35.67
01/10/2020 ,6,38.61
01/10/2020 ,7,51.09
01/10/2020 ,8,47.07
01/10/2020 ,9,37.22
01/10/2020 ,10,34.5
01/10/2020 ,11,31.05
01/10/2020 ,12,30.87
01/10/2020 ,13,28.8
01/10/2020 ,14,26.11
01/10/2020 ,15,26.81
01/10/2020 ,16,34.61
01/10/2020 ,17,38.06
01/10/2020 ,18,48.33
01/10/2020 ,19,49.19
01/10/2020 ,20,41.32
01/10/2020 ,21,40.08
01/10/2020 ,22,38.25
01/10/2020 ,23,37.7
01/10/2020 ,24,35.6
01/11/2020 ,1,34.84
01/11/2020 ,2,31.87
01/11/2020 ,3,30.53
01/11/2020 ,4,30.54
01/11/2020 ,5,31.7
01/11/2020 ,6,35.74
01/11/2020 ,7,37.36
01/11/2020 ,8,37.49
01/11/2020 ,9,34.11
01/11/2020 ,10,25.51
01/11/2020 ,11,19.13
01/11/2020 ,12,17.59
01/11/2020 ,13,13.08
01/11/2020 ,14,11.34
01/11/2020 ,15,18.43
01/11/2020 ,16,28.88
01/11/2020 ,17,35.9
01/11/2020 ,18,36.97
01/11/2020 ,19,40.72
01/11/2020 ,20,39.26
01/11/2020 ,21,38.73
01/11/2020 ,22,37.57
01/11/2020 ,23,36.9
01/11/2020 ,24,34.61
01/12/2020 ,1,33.2
01/12/2020 ,2,33.89
01/12/2020 ,3,34.39
01/12/2020 ,4,34.53
01/12/2020 ,5,34.95
01/12/2020 ,6,35.31
01/12/2020 ,7,36.78
01/12/2020 ,8,35.43
01/12/2020 ,9,30.37
01/12/2020 ,10,28.18
01/12/2020 ,11,25.57
01/12/2020 ,12,22.45
01/12/2020 ,13,21.47
01/12/2020 ,14,21.47
01/12/2020 ,15,22.52
01/12/2020 ,16,30.9
01/12/2020 ,17,36.33
01/12/2020 ,18,40.2
01/12/2020 ,19,45.14
01/12/2020 ,20,37.62
01/12/2020 ,21,36.1
01/12/2020 ,22,35.17
01/12/2020 ,23,34.21
01/12/2020 ,24,34.3
01/13/2020 ,1,29.15
01/13/2020 ,2,28.53
01/13/2020 ,3,27.86
01/13/2020 ,4,28.41
01/13/2020 ,5,30.13
01/13/2020 ,6,35.55
01/13/2020 ,7,46.28
01/13/2020 ,8,43.55
01/13/2020 ,9,35.77
01/13/2020 ,10,30.48
01/13/2020 ,11,30.16
01/13/2020 ,12,29.34
01/13/2020 ,13,27.26
01/13/2020 ,14,25.03
01/13/2020 ,15,29.57
01/13/2020 ,16,34.59
01/13/2020 ,17,40.58
01/13/2020 ,18,55.23
01/13/2020 ,19,53.21
01/13/2020 ,20,51.99
01/13/2020 ,21,49.13
01/13/2020 ,22,43.36
01/13/2020 ,23,35.17
01/13/2020 ,24,33.47
01/14/2020 ,1,29.47
01/14/2020 ,2,27.73
01/14/2020 ,3,26.87
01/14/2020 ,4,27.53
01/14/2020 ,5,29.87
01/14/2020 ,6,34.06
01/14/2020 ,7,47.06
01/14/2020 ,8,44.65
01/14/2020 ,9,36.29
01/14/2020 ,10,30.79
01/14/2020 ,11,26.67
01/14/2020 ,12,25.57
01/14/2020 ,13,23.24
01/14/2020 ,14,23.39
01/14/2020 ,15,26.54
01/14/2020 ,16,30.74
01/14/2020 ,17,35.09
01/14/2020 ,18,55.72
01/14/2020 ,19,50.45
01/14/2020 ,20,47.83
01/14/2020 ,21,44.59
01/14/2020 ,22,37.98
01/14/2020 ,23,33.38
01/14/2020 ,24,32.83
01/15/2020 ,1,29.72
01/15/2020 ,2,29.21
01/15/2020 ,3,29.2
01/15/2020 ,4,30.15
01/15/2020 ,5,33.23
01/15/2020 ,6,39.59
01/15/2020 ,7,55.35
01/15/2020 ,8,57.1
01/15/2020 ,9,37.96
01/15/2020 ,10,32.63
01/15/2020 ,11,29.43
01/15/2020 ,12,27.12
01/15/2020 ,13,27.05
01/15/2020 ,14,27.03
01/15/2020 ,15,30
01/15/2020 ,16,36.54
01/15/2020 ,17,46.65
01/15/2020 ,18,61.78
01/15/2020 ,19,56.5
01/15/2020 ,20,55.3
01/15/2020 ,21,47.04
01/15/2020 ,22,42.79
01/15/2020 ,23,36.8
01/15/2020 ,24,35.79
01/16/2020 ,1,29.45
01/16/2020 ,2,27.93
01/16/2020 ,3,27.43
01/16/2020 ,4,27.77
01/16/2020 ,5,30.91
01/16/2020 ,6,35.9
01/16/2020 ,7,46.75
01/16/2020 ,8,46.02
01/16/2020 ,9,35.77
01/16/2020 ,10,32.78
01/16/2020 ,11,29.92
01/16/2020 ,12,28.41
01/16/2020 ,13,26.86
01/16/2020 ,14,26.32
01/16/2020 ,15,28
01/16/2020 ,16,31.28
01/16/2020 ,17,39.42
01/16/2020 ,18,47.58
01/16/2020 ,19,47.79
01/16/2020 ,20,43.88
01/16/2020 ,21,40.46
01/16/2020 ,22,37.49
01/16/2020 ,23,32.51
01/16/2020 ,24,31.27
01/17/2020 ,1,28.24
01/17/2020 ,2,27.24
01/17/2020 ,3,25.82
01/17/2020 ,4,27.21
01/17/2020 ,5,28.38
01/17/2020 ,6,34.39
01/17/2020 ,7,47.03
01/17/2020 ,8,42.07
01/17/2020 ,9,32.86
01/17/2020 ,10,27.67
01/17/2020 ,11,25.3
01/17/2020 ,12,22.85
01/17/2020 ,13,21.61
01/17/2020 ,14,21.33
01/17/2020 ,15,24.1
01/17/2020 ,16,28.08
01/17/2020 ,17,40.9
01/17/2020 ,18,50.43
01/17/2020 ,19,49.3
01/17/2020 ,20,44.84
01/17/2020 ,21,39.67
01/17/2020 ,22,39.94
01/17/2020 ,23,34.49
01/17/2020 ,24,32.97
01/18/2020 ,1,31.31
01/18/2020 ,2,30.81
01/18/2020 ,3,28.85
01/18/2020 ,4,27.74
01/18/2020 ,5,28.68
01/18/2020 ,6,32.56
01/18/2020 ,7,31.55
01/18/2020 ,8,31.42
01/18/2020 ,9,30.8
01/18/2020 ,10,25.26
01/18/2020 ,11,23.52
01/18/2020 ,12,18.94
01/18/2020 ,13,18.39
01/18/2020 ,14,17.31
01/18/2020 ,15,21.08
01/18/2020 ,16,29.01
01/18/2020 ,17,34.19
01/18/2020 ,18,42.25
01/18/2020 ,19,41.68
01/18/2020 ,20,37.28
01/18/2020 ,21,36.54
01/18/2020 ,22,34.66
01/18/2020 ,23,33.86
01/18/2020 ,24,32.28
01/19/2020 ,1,30
01/19/2020 ,2,27.9
01/19/2020 ,3,28.11
01/19/2020 ,4,27.7
01/19/2020 ,5,29.52
01/19/2020 ,6,31.54
01/19/2020 ,7,31.55
01/19/2020 ,8,29.85
01/19/2020 ,9,28.81
01/19/2020 ,10,23.79
01/19/2020 ,11,18.4
01/19/2020 ,12,17.05
01/19/2020 ,13,18
01/19/2020 ,14,19.63
01/19/2020 ,15,24.07
01/19/2020 ,16,29.82
01/19/2020 ,17,34.91
01/19/2020 ,18,38.71
01/19/2020 ,19,40.1
01/19/2020 ,20,37.25
01/19/2020 ,21,34.95
01/19/2020 ,22,33.53
01/19/2020 ,23,33.12
01/19/2020 ,24,30.86
01/20/2020 ,1,29.59
01/20/2020 ,2,27.24
01/20/2020 ,3,27.06
01/20/2020 ,4,27.15
01/20/2020 ,5,28.55
01/20/2020 ,6,32.72
01/20/2020 ,7,34.54
01/20/2020 ,8,36.8
01/20/2020 ,9,36.67
01/20/2020 ,10,34.12
01/20/2020 ,11,32.37
01/20/2020 ,12,31.63
01/20/2020 ,13,30.19
01/20/2020 ,14,29.55
01/20/2020 ,15,31.26
01/20/2020 ,16,32.22
01/20/2020 ,17,39.73
01/20/2020 ,18,44.28
01/20/2020 ,19,43.65
01/20/2020 ,20,41.58
01/20/2020 ,21,37.52
01/20/2020 ,22,34.16
01/20/2020 ,23,32.71
01/20/2020 ,24,31.07
01/21/2020 ,1,28.71
01/21/2020 ,2,27.48
01/21/2020 ,3,26.91
01/21/2020 ,4,26.9
01/21/2020 ,5,27.39
01/21/2020 ,6,30.7
01/21/2020 ,7,38.43
01/21/2020 ,8,36.48
01/21/2020 ,9,35.79
01/21/2020 ,10,31.67
01/21/2020 ,11,28.4
01/21/2020 ,12,26.09
01/21/2020 ,13,24.87
01/21/2020 ,14,23.48
01/21/2020 ,15,25.57
01/21/2020 ,16,29.34
01/21/2020 ,17,33.4
01/21/2020 ,18,42.1
01/21/2020 ,19,43.09
01/21/2020 ,20,37.94
01/21/2020 ,21,34.64
01/21/2020 ,22,32.73
01/21/2020 ,23,30.4
01/21/2020 ,24,27.33
01/22/2020 ,1,23.35
01/22/2020 ,2,22.93
01/22/2020 ,3,22.36
01/22/2020 ,4,22.79
01/22/2020 ,5,24.25
01/22/2020 ,6,26.13
01/22/2020 ,7,36.26
01/22/2020 ,8,36.1
01/22/2020 ,9,29.37
01/22/2020 ,10,26.68
01/22/2020 ,11,24.44
01/22/2020 ,12,21.89
01/22/2020 ,13,20.08
01/22/2020 ,14,18.72
01/22/2020 ,15,21.35
01/22/2020 ,16,26.63
01/22/2020 ,17,33.35
01/22/2020 ,18,50.41
01/22/2020 ,19,46.67
01/22/2020 ,20,42.01
01/22/2020 ,21,37.61
01/22/2020 ,22,34.66
01/22/2020 ,23,29.9
01/22/2020 ,24,28.89
01/23/2020 ,1,27.52
01/23/2020 ,2,25.42
01/23/2020 ,3,24.28
01/23/2020 ,4,25.08
01/23/2020 ,5,27.2
01/23/2020 ,6,30.65
01/23/2020 ,7,34.99
01/23/2020 ,8,36.88
01/23/2020 ,9,27.83
01/23/2020 ,10,26.12
01/23/2020 ,11,23.85
01/23/2020 ,12,22.52
01/23/2020 ,13,21.17
01/23/2020 ,14,20.48
